County_Code,Year,total_chunks,sample_reliable,keyword_passed,scored,equipment_sum,equipment_index,environment_sum,environment_index,ecommerce_sum,ecommerce_index,brandquality_sum,brandquality_index,cluster_sum,cluster_index,finance_sum,finance_index,education_sum,education_index,L1_equipment_sum,L2_equipment_sum,L1_equipment_index,L2_equipment_index,L1_environment_sum,L2_environment_sum,L1_environment_index,L2_environment_index,L1_ecommerce_sum,L2_ecommerce_sum,L1_ecommerce_index,L2_ecommerce_index,L1_brandquality_sum,L2_brandquality_sum,L1_brandquality_index,L2_brandquality_index,L1_cluster_sum,L2_cluster_sum,L1_cluster_index,L2_cluster_index,L1_finance_sum,L2_finance_sum,L1_finance_index,L2_finance_index,L1_education_sum,L2_education_sum,L1_education_index,L2_education_index,policy_intensity_total,policy_intensity_concentration,policy_intensity_production,policy_intensity_market,policy_mix_equipment_env,policy_mix_production_market
130000,2015,43,1,2,2,0,0.0,1,2.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.33,1,0,0.0,0.6931471805599453
130000,2016,15,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
130000,2017,30,1,2,2,1,3.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.33,1,0,0.0,0.6931471805599453
130000,2018,48,1,6,6,2,4.17,2,4.17,0,0.0,0,0.0,3,6.25,0,0.0,8,16.67,1.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,14.59,7,0,0.173889,2.0794415416798357
130000,2019,27,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0,1.0,4.17,3.33,2.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,8.0,0.0,16.67,0.0,0,0.0,0,0,0.0,0.0
130000,2020,31,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2.0,0.0,4.17,0.0,2.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,8.0,0.0,16.67,0,0.0,0,0,0.0,0.0
130000,2021,52,1,4,4,0,0.0,1,1.92,0,0.0,0,0.0,0,0.0,0,0.0,8,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.92,1,0,0.0,0.6931471805599453
130000,2022,22,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,15.38,0.0,0,0.0,0,0,0.0,0.0
130000,2023,42,1,2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,15.38,0,0.0,0,0,0.0,0.0
130000,2024,35,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
