County_Code,Year,total_chunks,sample_reliable,keyword_passed,filter_passed,scored,equipment_index,environment_index,ecommerce_index,brandquality_index,cluster_index,finance_index,education_index,L1_equipment_index,L2_equipment_index,L1_environment_index,L2_environment_index,L1_ecommerce_index,L2_ecommerce_index,L1_brandquality_index,L2_brandquality_index,L1_cluster_index,L2_cluster_index,L1_finance_index,L2_finance_index,L1_education_index,L2_education_index,policy_intensity_total,policy_intensity_production,policy_intensity_market,policy_mix_equipment_env,policy_mix_production_market
130000,2023,169,1,52,42,42,3.55,13.02,5.33,2.96,15.98,2.37,2.37,1.0,2.0,12.0,14.5,7.0,6.0,3.0,3.0,10.0,11.5,10.0,9.0,3.0,1.0,43.0,23.0,20.0,0.12,0.13353139262452257
130000,2024,157,1,44,38,38,3.82,15.29,8.92,2.55,7.64,2.55,3.82,3.55,1.0,13.02,12.0,5.33,7.0,2.96,3.0,15.98,10.0,2.37,10.0,2.37,3.0,43.209999999999994,32.55,10.66,0.46220999999999995,1.0568726824953445
130000,2025,153,1,39,30,30,3.92,5.23,7.84,2.61,13.07,7.19,5.23,3.82,3.55,15.29,13.02,8.92,5.33,2.55,2.96,7.64,15.98,2.55,2.37,3.82,2.37,40.769999999999996,26.75,14.02,0.584078,0.6138531938564549
130000,2026,43,1,12,12,12,0.0,6.98,4.65,0.0,4.65,11.63,2.33,3.92,3.82,5.23,15.29,7.84,8.92,2.61,2.55,13.07,7.64,7.19,2.55,5.23,3.82,39.86,22.22,17.64,0.205016,0.21970416701230025
130600,2000,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
130600,2001,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
130600,2002,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130600,2003,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130600,2004,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130600,2005,3,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130600,2006,47,1,4,3,3,0.0,8.51,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130600,2007,47,1,5,5,5,0.0,8.51,0.0,0.0,6.38,0.0,0.0,0.0,0.0,8.51,0.0,0.0,0.0,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,12.77,12.77,0.0,0.0,2.6224923127405635
130600,2008,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51,8.51,0.0,0.0,0.0,0.0,6.38,4.26,0.0,0.0,0.0,0.0,14.89,14.89,0.0,0.0,2.7656899805486246
130600,2009,69,1,16,12,12,0.0,14.49,0.0,0.0,10.14,7.25,0.0,0.0,0.0,0.0,8.51,0.0,0.0,0.0,0.0,0.0,6.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130600,2010,43,1,14,12,12,0.0,11.63,0.0,0.0,18.6,18.6,0.0,0.0,0.0,14.49,0.0,0.0,0.0,0.0,0.0,10.14,0.0,7.25,0.0,0.0,0.0,31.880000000000003,24.630000000000003,7.25,0.0,1.1335503400293903
130600,2011,45,1,20,18,18,2.22,31.11,0.0,0.0,13.33,22.22,0.0,0.0,0.0,11.63,14.49,0.0,0.0,0.0,0.0,18.6,10.14,18.6,7.25,0.0,0.0,48.830000000000005,30.230000000000004,18.6,0.0,0.46584960505851575
130600,2012,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,31.11,11.63,0.0,0.0,0.0,0.0,13.33,18.6,22.22,18.6,0.0,0.0,68.88,46.66,22.22,0.690642,0.7190784954008504
130600,2013,11,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,31.11,0.0,0.0,0.0,0.0,0.0,13.33,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130600,2014,79,1,29,23,23,1.27,17.72,6.33,3.8,16.46,12.66,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130600,2015,6,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,17.72,0.0,6.33,0.0,3.8,0.0,16.46,0.0,12.66,0.0,2.53,0.0,58.239999999999995,35.45,22.79,0.225044,0.42667613413980093
130600,2016,7,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,17.72,0.0,6.33,0.0,3.8,0.0,16.46,0.0,12.66,0.0,2.53,0.0,0.0,0.0,0.0,0.0
130600,2017,7,0,1,1,1,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
