year,province,county,above_scale_ind_firms,above_scale_industry_output,agri_employment,agri_labor,agri_machinery_power,agriculture_va,animal_husbandry_va,area_km2,capital_construction_invest,cotton_output,crop_sowing_area,deposit_balance,facility_agri_area,facility_agri_plant_area,fertilizer_usage,fiscal_expenditure,fiscal_revenue_per_capita,fixed_asset_invest,fixed_asset_invest_ex_household,fixed_phone,gdp,grain_output,grain_per_capita,grain_sowing_area,hospital_beds,hospital_beds_per_10k,loan_balance,local_fiscal_expenditure,local_fiscal_revenue,local_phone,meat_output,mechanical_harvest_area,middle_school_students,oilseed_output,plastic_film_usage,primary_industry_va,primary_school_students,public_fiscal_expenditure,public_fiscal_revenue,registered_pop,rural_electricity,rural_employment,rural_households,rural_labor,rural_pop,secondary_employment,secondary_industry_va,students_per_teacher,subdistrict_count,tax_revenue,tertiary_employment,tertiary_industry_va,total_households,total_pop,total_students,town_count,township_count,urban_fixed_invest,village_committee_count,voc_edu_students,welfare_beds,welfare_institutions
2000,吉林省,榆树市,,,,41.7,36.6,,,,,,290914.0,45397.0,,,53019.0,5513.0,49.5,,,,,1650400.0,1398.6,247395.0,,12.5,218251.0,,5837.0,,34995.0,,,,1224.0,,,,,,,,,46.7,108.9,,,,,,,,,118.0,,,37.0,,388.0,,,
2000,四川省,双流县,,,,34.6,17.5,,,,,,107147.0,107031.0,,,14860.0,10414.0,116.3,,,,,460197.0,533.9,73898.0,,6.4,124963.0,,10021.0,,33593.0,,,,35.0,,,,,,,,,47.0,80.1,,,,,,,,,86.2,,,28.0,,494.0,,,
2000,四川省,金堂县,,,,40.5,10.7,,,,,,124915.0,29872.0,,,22211.0,5972.0,76.9,,,,,362942.0,445.9,95495.0,,9.4,64376.0,,6261.0,,29150.0,,,,285.0,,,,,,,,,46.9,74.9,,,,,,,,,81.4,,,24.0,,473.0,,,
2000,天津市,宁河县,,,,6.8,29.0,,,,,,44760.0,49866.0,,,13490.0,7280.0,224.5,,,,,216263.0,639.8,35058.0,,16.3,121290.0,,7587.0,,6257.0,,,,332.0,,,,,,,,,11.2,28.5,,,,,,,,,33.8,,,22.0,,287.0,,,
2000,天津市,宝坻县,,,,15.1,34.9,,,,,,112653.0,80880.0,,,11798.0,7340.0,137.5,,,,,422139.0,682.0,93715.0,,7.5,152494.0,,8510.0,,14924.0,,,,221.0,,,,,,,,,23.1,55.3,,,,,,,,,61.9,,,35.0,,766.0,,,
2000,天津市,武清县,,,,21.3,59.4,,,,,,137188.0,113882.0,,,16465.0,10512.0,136.0,,,,,490224.0,627.7,98326.0,,14.0,190204.0,,10620.0,,25455.0,,,,421.0,,,,,,,,,36.7,78.1,,,,,,,,,78.1,,,34.0,,741.0,,,
2000,天津市,静海县,,,,7.0,47.4,,,,,,88753.0,82321.0,,,13628.0,12580.0,288.5,,,,,184532.0,388.5,74079.0,,4.5,204245.0,,13706.0,,8440.0,,,,240.0,,,,,,,,,14.6,41.7,,,,,,,,,47.5,,,27.0,,381.0,,,
2000,宁夏回族自治区,平罗县,,,,8.7,18.8,,,,,,52319.0,28714.0,,,17504.0,2794.0,119.7,,,,,165816.0,663.3,41749.0,,2.6,29492.0,,2992.0,,4502.0,,,,255.0,,,,,,,,,9.5,19.7,,,,,,,,,25.0,,,17.0,,144.0,,,
2000,宁夏回族自治区,永宁县,,,,6.3,13.2,,,,,,34337.0,20965.0,,,9468.0,1182.0,81.5,,,,,172051.0,994.5,31617.0,,2.3,21425.0,,1410.0,,4627.0,,,,68.0,,,,,,,,,7.2,14.4,,,,,,,,,17.3,,,8.0,,73.0,,,
2000,宁夏回族自治区,贺兰县,,,,6.5,18.7,,,,,,38338.0,17081.0,,,12733.0,1255.0,104.9,,,,,168611.0,997.7,32847.0,,2.3,16028.0,,1772.0,,4409.0,,,,65.0,,,,,,,,,7.1,14.2,,,,,,,,,16.9,,,11.0,,81.0,,,
2000,宁夏回族自治区,陶乐县,,,,0.5,2.8,,,,,,6945.0,2120.0,,,1710.0,112.0,54.8,,,,,18777.0,816.4,4949.0,,3.3,1408.0,,126.0,,625.0,,,,19.0,,,,,,,,,0.6,1.6,,,,,,,,,2.3,,,5.0,,28.0,,,
2000,安徽省,肥东县,,,,36.7,25.9,,,,,,156989.0,33102.0,,,31204.0,3513.0,42.6,,,,,391780.0,380.0,97256.0,,8.0,51275.0,,4390.0,,34777.0,,,,102.0,,,,,,,,,46.9,95.1,,,,,,,,,103.1,,,34.0,,738.0,,,
2000,安徽省,肥西县,,,,36.7,19.6,,,,,,141990.0,17403.0,,,39528.0,3457.0,38.5,,,,,472934.0,504.2,90652.0,,9.3,52265.0,,3608.0,,16127.0,,,,94.0,,,,,,,,,42.4,83.3,,,,,,,,,93.8,,,31.0,,575.0,,,
2000,安徽省,芜湖县,,,,20.9,19.2,,,,,,76627.0,13481.0,,,14957.0,2534.0,52.0,,,,,254632.0,489.7,47238.0,,4.9,22748.0,,2703.0,,9931.0,,,,23.0,,,,,,,,,26.4,46.3,,,,,,,,,52.0,,,24.0,,243.0,,,
2000,安徽省,长丰县,,,,34.0,12.9,,,,,,160961.0,12735.0,,,40927.0,2462.0,28.3,,,,,426829.0,478.0,111011.0,,3.4,45023.0,,2524.0,,25027.0,,,,298.0,,,,,,,,,41.0,83.6,,,,,,,,,89.3,,,30.0,,544.0,,,
2000,山东省,商河县,,,,22.6,26.6,,,,,,102350.0,15130.0,,,36215.0,1776.0,32.6,,,,,327469.0,580.6,62672.0,,6.8,51325.0,,1839.0,,22779.0,,,,641.0,,,,,,,,,26.0,52.2,,,,,,,,,56.4,,,21.0,,961.0,,,
