year,province,county,above_scale_ind_firms,above_scale_industry_output,agri_employment,agri_labor,agri_machinery_power,agriculture_va,animal_husbandry_va,area_km2,capital_construction_invest,cotton_output,crop_sowing_area,deposit_balance,facility_agri_area,facility_agri_plant_area,fertilizer_usage,fiscal_expenditure,fiscal_revenue_per_capita,fixed_asset_invest,fixed_asset_invest_ex_household,fixed_phone,gdp,grain_output,grain_per_capita,grain_sowing_area,hospital_beds,hospital_beds_per_10k,loan_balance,local_fiscal_expenditure,local_fiscal_revenue,local_phone,meat_output,mechanical_harvest_area,middle_school_students,oilseed_output,plastic_film_usage,primary_industry_va,primary_school_students,public_fiscal_expenditure,public_fiscal_revenue,registered_pop,rural_electricity,rural_employment,rural_households,rural_labor,rural_pop,secondary_employment,secondary_industry_va,students_per_teacher,subdistrict_count,tax_revenue,tertiary_employment,tertiary_industry_va,total_households,total_pop,total_students,town_count,township_count,urban_fixed_invest,village_committee_count,voc_edu_students,welfare_beds,welfare_institutions
2003,河北省,高阳县,30.0,109208.0,89762.0,,17.3,,,497.0,6118.0,2013.0,,191157.0,,,,13210.0,,,,,,132839.0,,,567.0,,128907.0,,5398.0,58682.0,8745.0,,23354.0,9279.0,,41216.0,26176.0,,,,11005.0,154155.0,68087.0,,27.3,,143528.0,,,,,,81711.0,31.0,,,9.0,,180.0,,136.0,9.0
2007,河北省,高阳县,49.0,413871.0,71081.0,,19.0,,,472.0,,7549.0,,323161.0,,,,,,,,,,145553.0,,,497.0,,182258.0,27565.0,8634.0,72464.0,9463.0,,19239.0,7906.0,,44430.0,18660.0,,,,,156135.0,70058.0,,27.0,,292914.0,,,,,,89173.0,32.0,,,9.0,156759.0,170.0,,176.0,10.0
2011,河北省,高阳县,81.0,1070218.0,71063.0,,21.0,,,497.0,,8157.0,,593676.0,,,,,,,,,,165385.0,,,787.0,,235629.0,70902.0,24185.0,57954.0,5825.0,,12618.0,8038.0,,81068.0,25226.0,,,,,169772.0,74078.0,,29.0,,479897.0,,,,,,101102.0,34.0,,,9.0,356165.0,170.0,,,
2012,河北省,高阳县,76.0,1548487.0,71798.0,,22.0,,,497.0,,9386.0,,697924.0,,,,,,,412082.0,54202.0,,,,,803.0,,304851.0,85476.0,32613.0,,6059.0,,15301.0,4080.0,,85658.0,26923.0,,,,,171954.0,74561.0,,29.0,,600326.0,,,,,,107287.0,34.0,,,9.0,,170.0,,,
2023,河北省,高阳县,162.0,,,,,,,441.0,,,,3020325.0,,302.0,,,,,,24685.0,1263024.0,,,,2058.0,,1477184.0,264988.0,95360.0,,,,25028.0,571.0,,75766.0,28906.0,,,32.0,,,,,,,595673.0,,1.0,,,591585.0,,,,7.0,,,,,740.0,20.0
