行政区划代码,注册年份,区县名称,所属城市,所属省份,一级行业,二级行业,三级行业,注册企业数,Unnamed: 9
130628.0,2004.0,高阳县,保定市,河北省,制造业,农副食品加工业,植物油加工,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,农副食品加工业,谷物磨制,8.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,农副食品加工业,饲料加工,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,化学原料和化学制品制造业,专用化学产品制造,3.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,化学原料和化学制品制造业,涂料、油墨、颜料及类似产品制造,2.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,化学原料和化学制品制造业,肥料制造,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,医药制造业,兽用药品制造,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,印刷和记录媒介复制业,印刷,4.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,印刷和记录媒介复制业,装订及印刷相关服务,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,家具制造业,木质家具制造,2.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,废弃资源综合利用业,金属废料和碎屑加工处理,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,文教、工美、体育和娱乐用品制造业,工艺美术品制造,3.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,有色金属冶炼和压延加工业,常用有色金属冶炼,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,木材加工和木、竹、藤、棕、草制品业,人造板制造,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,木材加工和木、竹、藤、棕、草制品业,木制品制造,2.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,木材加工和木、竹、藤、棕、草制品业,木材加工,2.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,橡胶和塑料制品业,塑料制品业,11.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,橡胶和塑料制品业,橡胶制品业,2.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,汽车制造业,汽车零部件及配件制造,15.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,其他电气机械及器材制造,2.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,家用电力器具制造,5.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,电线、电缆、光缆及电工器材制造,8.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,输配电及控制设备制造,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,皮革、毛皮、羽毛及其制品和制鞋业,制鞋业,5.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,纺织业,化纤织造及印染精加工,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,纺织业,家用纺织制成品制造,273.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,纺织业,棉纺织及印染精加工,64.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,纺织业,毛纺织及染整精加工,11.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,纺织业,针织或钩针编织物及其制品制造,6.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,纺织业,非家用纺织制成品制造,3.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,纺织服装、服饰业,服饰制造,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,纺织服装、服饰业,机织服装制造,86.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,计算机、通信和其他电子设备制造业,通信设备制造,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,通用设备制造业,泵、阀门、压缩机及类似机械制造,3.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,通用设备制造业,通用零部件制造,19.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,通用设备制造业,金属加工机械制造,9.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,通用设备制造业,锅炉及原动设备制造,2.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,造纸和纸制品业,纸制品制造,9.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,金属制品业,建筑、安全用金属制品制造,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,金属制品业,结构性金属制品制造,6.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,金属制品业,金属工具制造,2.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,金属制品业,金属表面处理及热处理加工,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,铁路、船舶、航空航天和其他运输设备制造业,摩托车制造,2.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,铁路、船舶、航空航天和其他运输设备制造业,自行车制造,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,石墨及其他非金属矿物制品制造,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,石膏、水泥制品及类似制品制造,5.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,砖瓦、石材等建筑材料制造,1.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,食品制造业,方便食品制造,3.0,
130628.0,2004.0,高阳县,保定市,河北省,制造业,食品制造业,焙烤食品制造,4.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,其他服务业,其他未列明服务业,2.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,其他服务业,清洁服务,1.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,保健服务,2.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,其他居民服务业,1.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,婚姻服务,6.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,洗染服务,3.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,洗浴服务,1.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,理发及美容服务,12.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,机动车、电子产品和日用产品修理业,其他日用产品修理业,3.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,机动车、电子产品和日用产品修理业,家用电器修理,5.0,
130628.0,2004.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,机动车、电子产品和日用产品修理业,汽车、摩托车修理与维护,35.0,
130628.0,2004.0,高阳县,保定市,河北省,建筑业,建筑装饰和其他建筑业,建筑装饰业,3.0,
130628.0,2004.0,高阳县,保定市,河北省,房地产业,房地产业,房地产中介服务,1.0,
130628.0,2004.0,高阳县,保定市,河北省,房地产业,房地产业,房地产开发经营,1.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,批发业,其他批发业,2.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,批发业,农、林、牧产品批发,8.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,批发业,机械设备、五金产品及电子产品批发,46.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,批发业,矿产品、建材及化工产品批发,11.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,批发业,纺织、服装及家庭用品批发,82.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,批发业,食品、饮料及烟草制品批发,15.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,零售业,五金、家具及室内装饰材料专门零售,76.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,零售业,医药及医疗器材专门零售,15.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,零售业,家用电器及电子产品专门零售,46.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,零售业,文化、体育用品及器材专门零售,17.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,零售业,汽车、摩托车、燃料及零配件专门零售,153.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,零售业,纺织、服装及日用品专门零售,109.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,零售业,综合零售,62.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,零售业,货摊、无店铺及其他零售业,472.0,
130628.0,2004.0,高阳县,保定市,河北省,批发和零售业,零售业,食品、饮料及烟草制品专门零售,82.0,
130628.0,2004.0,高阳县,保定市,河北省,教育,教育,技能培训、教育辅助及其他教育,1.0,
130628.0,2004.0,高阳县,保定市,河北省,文化、体育和娱乐业,娱乐业,室内娱乐活动,4.0,
130628.0,2004.0,高阳县,保定市,河北省,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,电影和影视节目制作,1.0,
130628.0,2004.0,高阳县,保定市,河北省,电力、热力、燃气及水生产和供应业,水的生产和供应业,自来水生产和供应,1.0,
130628.0,2004.0,高阳县,保定市,河北省,科学研究和技术服务业,专业技术服务业,测绘服务,1.0,
130628.0,2004.0,高阳县,保定市,河北省,科学研究和技术服务业,专业技术服务业,质检技术服务,1.0,
130628.0,2004.0,高阳县,保定市,河北省,科学研究和技术服务业,研究和试验发展,农业科学研究和试验发展,1.0,
130628.0,2004.0,高阳县,保定市,河北省,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,1.0,
130628.0,2004.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,人力资源服务,1.0,
130628.0,2004.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,企业管理服务,1.0,
130628.0,2004.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,咨询与调查,2.0,
130628.0,2004.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,广告业,8.0,
130628.0,2004.0,高阳县,保定市,河北省,金融业,其他金融业,其他未列明金融业,1.0,
130628.0,2004.0,高阳县,保定市,河北省,金融业,货币金融服务,货币银行服务,2.0,
130628.0,2005.0,高阳县,保定市,河北省,交通运输、仓储和邮政业,装卸搬运和运输代理业,装卸搬运,2.0,
130628.0,2005.0,高阳县,保定市,河北省,交通运输、仓储和邮政业,装卸搬运和运输代理业,运输代理业,1.0,
130628.0,2005.0,高阳县,保定市,河北省,交通运输、仓储和邮政业,道路运输业,道路货物运输,1.0,
130628.0,2005.0,高阳县,保定市,河北省,住宿和餐饮业,住宿业,一般旅馆,4.0,
130628.0,2005.0,高阳县,保定市,河北省,住宿和餐饮业,餐饮业,其他餐饮业,3.0,
130628.0,2005.0,高阳县,保定市,河北省,住宿和餐饮业,餐饮业,快餐服务,1.0,
130628.0,2005.0,高阳县,保定市,河北省,住宿和餐饮业,餐饮业,正餐服务,5.0,
130628.0,2005.0,高阳县,保定市,河北省,信息传输、软件和信息技术服务业,电信、广播电视和卫星传输服务,电信,2.0,
130628.0,2005.0,高阳县,保定市,河北省,农、林、牧、渔业,农业,中药材种植,1.0,
130628.0,2005.0,高阳县,保定市,河北省,农、林、牧、渔业,农业,谷物种植,1.0,
130628.0,2005.0,高阳县,保定市,河北省,农、林、牧、渔业,畜牧业,牲畜饲养,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,专用设备制造业,农、林、牧、渔专用机械制造,4.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,专用设备制造业,化工、木材、非金属加工专用设备制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,专用设备制造业,环保、社会公共服务及其他专用设备制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,其他制造业,其他未列明制造业,5.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,其他制造业,日用杂品制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,农副食品加工业,谷物磨制,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,文教、工美、体育和娱乐用品制造业,工艺美术品制造,5.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,橡胶和塑料制品业,塑料制品业,3.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,橡胶和塑料制品业,橡胶制品业,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,汽车制造业,汽车零部件及配件制造,4.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,家用电力器具制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,电池制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,电线、电缆、光缆及电工器材制造,2.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,输配电及控制设备制造,2.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,石油加工、炼焦和核燃料加工业,精炼石油产品制造,2.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,纺织业,丝绢纺织及印染精加工,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,纺织业,家用纺织制成品制造,63.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,纺织业,棉纺织及印染精加工,9.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,纺织业,毛纺织及染整精加工,4.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,纺织业,针织或钩针编织物及其制品制造,2.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,纺织服装、服饰业,服饰制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,纺织服装、服饰业,机织服装制造,35.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,通用设备制造业,烘炉、风机、衡器、包装等设备制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,通用设备制造业,通用零部件制造,3.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,通用设备制造业,金属加工机械制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,通用设备制造业,锅炉及原动设备制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,造纸和纸制品业,纸制品制造,2.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,酒、饮料和精制茶制造业,饮料制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,金属制品业,其他金属制品制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,金属制品业,结构性金属制品制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,金属制品业,金属工具制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,非金属矿物制品业,砖瓦、石材等建筑材料制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,食品制造业,其他食品制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,食品制造业,方便食品制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,食品制造业,焙烤食品制造,1.0,
130628.0,2005.0,高阳县,保定市,河北省,制造业,黑色金属冶炼和压延加工业,黑色金属铸造,2.0,
130628.0,2005.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,其他服务业,其他未列明服务业,1.0,
130628.0,2005.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,其他居民服务业,1.0,
130628.0,2005.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,婚姻服务,1.0,
130628.0,2005.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,洗染服务,1.0,
130628.0,2005.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,理发及美容服务,3.0,
130628.0,2005.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,机动车、电子产品和日用产品修理业,汽车、摩托车修理与维护,2.0,
130628.0,2005.0,高阳县,保定市,河北省,房地产业,房地产业,房地产中介服务,1.0,
130628.0,2005.0,高阳县,保定市,河北省,房地产业,房地产业,房地产开发经营,2.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,批发业,其他批发业,5.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,批发业,农、林、牧产品批发,2.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,批发业,机械设备、五金产品及电子产品批发,10.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,批发业,矿产品、建材及化工产品批发,7.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,批发业,纺织、服装及家庭用品批发,39.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,批发业,贸易经纪与代理,2.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,批发业,食品、饮料及烟草制品批发,3.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,零售业,五金、家具及室内装饰材料专门零售,9.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,零售业,医药及医疗器材专门零售,28.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,零售业,家用电器及电子产品专门零售,10.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,零售业,文化、体育用品及器材专门零售,1.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,零售业,汽车、摩托车、燃料及零配件专门零售,11.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,零售业,纺织、服装及日用品专门零售,35.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,零售业,综合零售,14.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,零售业,货摊、无店铺及其他零售业,39.0,
130628.0,2005.0,高阳县,保定市,河北省,批发和零售业,零售业,食品、饮料及烟草制品专门零售,20.0,
130628.0,2005.0,高阳县,保定市,河北省,电力、热力、燃气及水生产和供应业,燃气生产和供应业,燃气生产和供应业,1.0,
130628.0,2005.0,高阳县,保定市,河北省,科学研究和技术服务业,专业技术服务业,其他专业技术服务业,1.0,
130628.0,2005.0,高阳县,保定市,河北省,科学研究和技术服务业,专业技术服务业,质检技术服务,1.0,
130628.0,2005.0,高阳县,保定市,河北省,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,2.0,
130628.0,2005.0,高阳县,保定市,河北省,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,1.0,
130628.0,2005.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,广告业,2.0,
130628.0,2005.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,旅行社及相关服务,2.0,
130628.0,2005.0,高阳县,保定市,河北省,金融业,货币金融服务,货币银行服务,3.0,
130628.0,2006.0,高阳县,保定市,河北省,交通运输、仓储和邮政业,道路运输业,道路货物运输,1.0,
130628.0,2006.0,高阳县,保定市,河北省,交通运输、仓储和邮政业,邮政业,邮政基本服务,1.0,
130628.0,2006.0,高阳县,保定市,河北省,住宿和餐饮业,住宿业,一般旅馆,2.0,
130628.0,2006.0,高阳县,保定市,河北省,住宿和餐饮业,餐饮业,其他餐饮业,2.0,
130628.0,2006.0,高阳县,保定市,河北省,住宿和餐饮业,餐饮业,快餐服务,1.0,
130628.0,2006.0,高阳县,保定市,河北省,住宿和餐饮业,餐饮业,正餐服务,13.0,
130628.0,2006.0,高阳县,保定市,河北省,信息传输、软件和信息技术服务业,互联网和相关服务,互联网信息服务,1.0,
130628.0,2006.0,高阳县,保定市,河北省,信息传输、软件和信息技术服务业,电信、广播电视和卫星传输服务,电信,3.0,
130628.0,2006.0,高阳县,保定市,河北省,农、林、牧、渔业,畜牧业,牲畜饲养,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,专用设备制造业,农、林、牧、渔专用机械制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,专用设备制造业,环保、社会公共服务及其他专用设备制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,其他制造业,其他未列明制造业,7.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,农副食品加工业,谷物磨制,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,化学原料和化学制品制造业,专用化学产品制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,橡胶和塑料制品业,塑料制品业,4.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,汽车制造业,汽车零部件及配件制造,5.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,其他电气机械及器材制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,家用电力器具制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,照明器具制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,电池制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,电线、电缆、光缆及电工器材制造,2.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,电气机械和器材制造业,输配电及控制设备制造,2.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,皮革、毛皮、羽毛及其制品和制鞋业,制鞋业,3.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,石油加工、炼焦和核燃料加工业,精炼石油产品制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,纺织业,家用纺织制成品制造,65.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,纺织业,棉纺织及印染精加工,9.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,纺织业,毛纺织及染整精加工,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,纺织服装、服饰业,机织服装制造,31.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,通用设备制造业,其他通用设备制造业,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,通用设备制造业,泵、阀门、压缩机及类似机械制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,通用设备制造业,轴承、齿轮和传动部件制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,通用设备制造业,通用零部件制造,5.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,金属制品业,金属丝绳及其制品制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,金属制品业,金属工具制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,铁路、船舶、航空航天和其他运输设备制造业,摩托车制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,制造业,食品制造业,方便食品制造,1.0,
130628.0,2006.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,其他服务业,其他未列明服务业,2.0,
130628.0,2006.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,保健服务,1.0,
130628.0,2006.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,其他居民服务业,1.0,
130628.0,2006.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,居民服务业,理发及美容服务,3.0,
130628.0,2006.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,机动车、电子产品和日用产品修理业,家用电器修理,2.0,
130628.0,2006.0,高阳县,保定市,河北省,居民服务、修理和其他服务业,机动车、电子产品和日用产品修理业,汽车、摩托车修理与维护,4.0,
130628.0,2006.0,高阳县,保定市,河北省,建筑业,建筑装饰和其他建筑业,建筑装饰业,1.0,
130628.0,2006.0,高阳县,保定市,河北省,房地产业,房地产业,房地产开发经营,1.0,
130628.0,2006.0,高阳县,保定市,河北省,房地产业,房地产业,物业管理,1.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,批发业,其他批发业,2.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,批发业,农、林、牧产品批发,3.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,批发业,医药及医疗器材批发,1.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,批发业,文化、体育用品及器材批发,1.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,批发业,机械设备、五金产品及电子产品批发,16.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,批发业,矿产品、建材及化工产品批发,6.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,批发业,纺织、服装及家庭用品批发,36.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,批发业,贸易经纪与代理,2.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,批发业,食品、饮料及烟草制品批发,8.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,零售业,五金、家具及室内装饰材料专门零售,8.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,零售业,医药及医疗器材专门零售,10.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,零售业,家用电器及电子产品专门零售,17.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,零售业,文化、体育用品及器材专门零售,4.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,零售业,汽车、摩托车、燃料及零配件专门零售,21.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,零售业,纺织、服装及日用品专门零售,31.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,零售业,综合零售,9.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,零售业,货摊、无店铺及其他零售业,43.0,
130628.0,2006.0,高阳县,保定市,河北省,批发和零售业,零售业,食品、饮料及烟草制品专门零售,10.0,
130628.0,2006.0,高阳县,保定市,河北省,教育,教育,技能培训、教育辅助及其他教育,1.0,
130628.0,2006.0,高阳县,保定市,河北省,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,电力生产,1.0,
130628.0,2006.0,高阳县,保定市,河北省,科学研究和技术服务业,专业技术服务业,其他专业技术服务业,1.0,
130628.0,2006.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,企业管理服务,1.0,
130628.0,2006.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,咨询与调查,1.0,
130628.0,2006.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,广告业,2.0,
130628.0,2006.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,旅行社及相关服务,1.0,
130628.0,2006.0,高阳县,保定市,河北省,租赁和商务服务业,商务服务业,知识产权服务,1.0,
130628.0,2006.0,高阳县,保定市,河北省,金融业,保险业,人身保险,1.0,
130628.0,2006.0,高阳县,保定市,河北省,金融业,货币金融服务,货币银行服务,1.0,
130628.0,2007.0,高阳县,保定市,河北省,交通运输、仓储和邮政业,道路运输业,道路货物运输,3.0,
130628.0,2007.0,高阳县,保定市,河北省,住宿和餐饮业,住宿业,一般旅馆,2.0,
130628.0,2007.0,高阳县,保定市,河北省,住宿和餐饮业,餐饮业,其他餐饮业,18.0,
130628.0,2007.0,高阳县,保定市,河北省,住宿和餐饮业,餐饮业,快餐服务,6.0,
130628.0,2007.0,高阳县,保定市,河北省,住宿和餐饮业,餐饮业,正餐服务,32.0,
130628.0,2007.0,高阳县,保定市,河北省,信息传输、软件和信息技术服务业,互联网和相关服务,互联网信息服务,3.0,
130628.0,2007.0,高阳县,保定市,河北省,信息传输、软件和信息技术服务业,电信、广播电视和卫星传输服务,电信,2.0,
130628.0,2007.0,高阳县,保定市,河北省,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,2.0,
130628.0,2007.0,高阳县,保定市,河北省,农、林、牧、渔业,农、林、牧、渔服务业,农业服务业,1.0,
130628.0,2007.0,高阳县,保定市,河北省,农、林、牧、渔业,农业,蔬菜、食用菌及园艺作物种植,1.0,
130628.0,2007.0,高阳县,保定市,河北省,农、林、牧、渔业,农业,豆类、油料和薯类种植,1.0,
130628.0,2007.0,高阳县,保定市,河北省,农、林、牧、渔业,畜牧业,牲畜饲养,3.0,
130628.0,2007.0,高阳县,保定市,河北省,制造业,其他制造业,其他未列明制造业,2.0,
130628.0,2007.0,高阳县,保定市,河北省,制造业,农副食品加工业,屠宰及肉类加工,1.0,
130628.0,2007.0,高阳县,保定市,河北省,制造业,农副食品加工业,植物油加工,1.0,
130628.0,2007.0,高阳县,保定市,河北省,制造业,农副食品加工业,谷物磨制,1.0,
130628.0,2007.0,高阳县,保定市,河北省,制造业,农副食品加工业,饲料加工,1.0,
130628.0,2007.0,高阳县,保定市,河北省,制造业,印刷和记录媒介复制业,印刷,1.0,
