County_Code,Effect,Pre_RMSE
130602,-15.222825913993335,8.0648192756348
130606,-10.826655318017439,8.239995034377342
130607,0.39592804901451406,3.638037550661538
130608,6.893487507875787,15.291169182377951
130609,51.947273592227866,11.43109781169125
130623,-9.37500000001331,11.32669932713331
130624,6.2081878082051665,10.487922049791761
130626,95.69423805685979,11.916144505824775
130627,-4.699856416850005,21.788758821965526
130629,-179.76665773238875,34.40651484630048
130630,-4.402737034673793,5.1910327683965924
130631,24.711678916241667,8.18397296255787
130632,-200.53426040244184,48.20529764364317
130633,23.74418785186111,8.259359866035116
130634,48.699578312120025,16.86039234199761
130635,406.4999999888114,117.19114601824336
130636,-5.806297626578724,10.60857426327333
130637,-19.139138858998052,14.944082921409528
130638,-47.307840915568235,18.57863716345485
130681,-6.981516478595065,4.190800420745133
130682,26.44675337638564,16.722679617765884
130683,-1.8853894465895693,7.352573685169837
130684,-20.745542766809272,42.443423283862806
