Period,Years,N,textile_firms_mean,textile_firms_std,total_firms_mean,total_firms_std,policy_intensity_total_mean,policy_intensity_total_std,policy_doc_count_mean,policy_doc_count_std,policy_composite_mean,policy_composite_std
Pre-2017,2000-2016,17,192.23529411764707,189.70586753305915,1340.8823529411766,1240.2636253208902,11.915882352941177,35.794464142312485,2.5294117647058822,1.7719215226281724,1.5083529411764707,6.21909849718165
Post-2017,2017-2026,10,571.3,110.20087718949125,6130.7,1045.9084355504335,67.70100000000001,66.71198217378611,4.9,3.1780497164141406,10.980799999999999,11.786421271955284
